SourceRow,Amount,Tip,Gender,Smoker,Day,Time,Partysize,AnalysisReady,TipRatePct,CorePartySize,PerHead,DuplicateBlock,TipSuspect,TipEntryError,TipRateSensitivity
2,16.99,1.01,Female,No,Sun,Dinner,2.0,True,5.9446733372572105,True,8.495,False,False,False,True
3,10.34,1.66,Male,No,Sun,Dinner,3.0,True,16.054158607350097,True,3.4466666666666668,False,False,False,True
4,21.01,3.5,Male,No,Sun,Dinner,3.0,True,16.658733936220845,True,7.003333333333334,False,False,False,True
5,23.68,3.31,Male,No,Sun,Dinner,2.0,True,13.97804054054054,True,11.84,False,False,False,True
6,24.59,3.61,Female,No,Sun,Dinner,4.0,True,14.680764538430257,True,6.1475,False,False,False,True
7,25.29,4.71,Male,No,Sun,Dinner,4.0,True,18.62396204033215,True,6.3225,False,False,False,True
8,8.77,2.0,Male,No,Sun,Dinner,2.0,True,22.80501710376283,True,4.385,False,False,False,True
9,26.88,3.12,Male,No,Sun,Dinner,4.0,True,11.607142857142858,True,6.72,False,False,False,True
10,15.04,1.96,Male,,Sun,Dinner,2.0,True,13.031914893617023,True,7.52,False,False,False,True
11,14.78,3.23,Male,No,Sun,Dinner,2.0,True,21.85385656292287,True,7.39,False,False,False,True
12,10.27,1.71,Male,No,Sun,Dinner,2.0,True,16.650438169425513,True,5.135,False,False,False,True
13,35.26,5.0,Female,No,Sun,Dinner,4.0,True,14.180374361883155,True,8.815,False,False,False,True
14,15.42,1.57,Male,No,Sun,Dinner,,True,10.181582360570687,False,,False,False,False,True
15,18.43,3.0,Male,No,Sun,Dinner,4.0,True,16.277807921866522,True,4.6075,False,False,False,True
16,14.83,3.02,Female,No,Sun,Dinner,2.0,True,20.364126770060686,True,7.415,False,False,False,True
17,21.58,3.92,Male,No,Sun,Dinner,2.0,True,18.164967562557926,True,10.79,False,False,False,True
18,10.33,1.67,Female,No,Sun,Dinner,3.0,True,16.16650532429816,True,3.4433333333333334,False,False,False,True
19,16.29,3.71,Male,No,Sun,Dinner,3.0,True,22.77470841006753,True,5.43,False,False,False,True
20,16.97,3.5,Female,No,Sun,Dinner,3.0,True,20.624631703005306,True,5.656666666666666,False,False,False,True
21,20.65,3.35,Male,No,Sat,Dinner,3.0,True,16.222760290556902,True,6.883333333333333,False,False,False,True
22,17.92,4.08,Male,No,Sat,Dinner,2.0,True,22.767857142857142,True,8.96,False,False,False,True
23,20.29,2.75,Female,No,Sat,Dinner,2.0,True,13.553474618038443,True,10.145,False,False,False,True
24,15.77,2.23,Female,No,Sat,Dinner,2.0,True,14.140773620798985,True,7.885,False,False,False,True
25,39.42,7.58,Male,No,Sat,Dinner,4.0,True,19.228817858954844,True,9.855,False,False,False,True
26,19.82,3.18,Male,No,Sat,Dinner,2.0,True,16.044399596367306,True,9.91,False,False,False,True
27,17.81,2.34,Male,No,Sat,Dinner,4.0,True,13.138686131386862,True,4.4525,False,False,False,True
28,13.37,2.0,Male,No,Sat,Dinner,2.0,True,14.958863126402393,True,6.685,False,False,False,True
29,12.69,2.0,Male,,Sat,Dinner,2.0,True,15.760441292356187,True,6.345,False,False,False,True
30,21.7,4.3,Male,No,Sat,Dinner,2.0,True,19.81566820276498,True,10.85,False,False,False,True
31,19.65,3.0,Female,No,Sat,Dinner,2.0,True,15.267175572519085,True,9.825,False,False,False,True
32,9.55,1.45,Male,No,Sat,Dinner,2.0,True,15.183246073298427,True,4.775,False,False,False,True
33,18.35,2.5,Male,No,Sat,Dinner,4.0,True,13.623978201634877,True,4.5875,False,False,False,True
34,15.06,3.0,Female,No,Sat,Dinner,2.0,True,19.9203187250996,True,7.53,False,False,False,True
35,20.69,2.45,Female,No,Sat,Dinner,4.0,True,11.841469308844854,True,5.1725,False,False,False,True
36,17.78,3.27,Male,No,Sat,Dinner,2.0,True,18.391451068616423,True,8.89,False,False,False,True
37,24.06,3.6,Male,No,Sat,Dinner,3.0,True,14.962593516209477,True,8.02,False,False,False,True
38,16.31,2.0,Male,No,Sat,Dinner,3.0,True,12.262415695892091,True,5.4366666666666665,False,False,False,True
39,16.93,3.07,Female,No,Sat,Dinner,3.0,True,18.13349084465446,True,5.6433333333333335,False,False,False,True
